,companys,skills,pub_date
0,"Peopleplease,Consulting","Python,Python,Scripting","a,month,ago"
1,"SEVEN,CONSULTANCY","rest,python,storage","1,day,ago"
2,"east,india,securities,ltd.","python,hadoop,machine,learning","5,days,ago"
3,"CONNECTING,2,WORK","rest,python,django,mongodb","5,days,ago"
4,"SEVEN,CONSULTANCY","python,mvc,sql","few,days,ago"
5,"SEVEN,CONSULTANCY","rest,python,web,developer,storage,software,developer","1,day,ago"
6,"DREAMAJAX,TECHNOLOGIES","python,django,api,sql,nosql","6,days,ago"
7,"Datagrid,Solutions","python,database,django,mysql,api","6,days,ago"
8,"SEVEN,CONSULTANCY","rest,python,oracle,sybase,bi,storage,javascript,nosql,sql,python,scripting,java,xml,linux,mysql,unix","1,day,ago"
9,"InnOvator,Web,Solutions,Pvt.Ltd.","rest,python,django,web,developer,mysql,api","5,days,ago"
10,"CONNECTING,2,WORK","python,storage,django,testing,tools,debugging","5,days,ago"
11,"CONNECTING,2,WORK","database,python,css,rest,api,html,javascript","5,days,ago"
12,"SEVEN,CONSULTANCY","Python,programming,programming,language,front-end,developer","6,days,ago"
13,"young,minds,technology,solutions,pvt,ltd","python,html5,storage,javascript,security,django","6,days,ago"
14,"3RI,Technologies,Pvt,Ltd","python,Pandas,PyQt5,Matplotlib,Openpyxl","6,days,ago"
15,"3RI,Technologies,Pvt,Ltd","python,database,security,django,git,mobile","6,days,ago"
16,"Wing,Global,IT,Services","spring,boot,python,java,django,jpa,hibernate","6,days,ago"
17,DealsCorner,"python,css,oops,linux,debugging,html,javascript","6,days,ago"
18,AxisTechnolabs,"python,django,it,skills,html5,api,jquery","6,days,ago"
19,"LAKSH,HUMAN,RESOURCE","rest,python,django,git","few,days,ago"
